97	Bk	Berkelium	[247]	[Rn]5f97s2
98	Cf	Californium	[251]	[Rn]5f107s2
99	Es	Einsteinium	[252]	[Rn]5f117s2
100	Fm	Fermium	[257]	[Rn]5f127s2
101	Md	Mendelevium	[258]	[Rn]5f137s2
102	No	Nobelium	[259]	[Rn]5f147s2
103	Lr	Lawrencium	[262]	[Rn]5f147s27p1
104	Rf	Rutherfordium	[267]	[Rn]5f146d27s2
105	Db	Dubnium	[268]	[Rn].5f14.6d3.7s2
106	Sg	Seaborgium	[271]	[Rn].5f14.6d4.7s2
107	Bh	Bohrium	[272]	[Rn].5f14.6d5.7s2
108	Hs	Hassium	[270]	[Rn].5f14.6d6.7s2
109	Mt	Meitnerium	[276]	[Rn].5f14.6d7.7s2
110	Ds	Darmstadtium	[281]	[Rn].5f14.6d9.7s1
111	Rg	Roentgenium	[280]	[Rn].5f14.6d10.7s1
112	Cn	Copernicium	[285]	[Rn].5f14.6d10.7s2
113	Uut	Ununtrium	[284]	[Rn].5f14.6d10.7s2.7p1
114	Uuq	Ununquadium	[289]	[Rn].5f14.6d10.7s2.7p2
115	Uup	Ununpentium	[288]	[Rn].5f14.6d10.7s2.7p3
116	Uuh	Ununhexium	[293]	[Rn].5f14.6d10.7s2.7p4
117	Uus	Ununseptium		[Rn].5f14.6d10.7s2.7p5
118	Uuo	Ununoctium	[294]	[Rn].5f14.6d10.7s2.7p6
